Female =1 ,Male =2 ,,Control = 1,Experimental = 2,,
,,,,,,
Task,Gender,Age,Group ,Time (minutes),Results,#
Sudoku,1,21,1,4:38,100%,1
Sudoku,1,25,2,7:19,100%,2
Sudoku,2,25,1,10:00,63%,3
Sudoku,1,20,2,6:06,100%,4
Sudoku,1,22,1,10:00,30%,5
Sudoku,1,20,1,10:00,28%,6
Sudoku,1,19,1,9.85,67%,7
Sudoku,1,19,2,10:00,28%,8
Sudoku,1,21,1,10:00,35%,9
Sudoku,1,22,2,10:00,57%,10
Sudoku,2,51,1,10:00,77%,11
Sudoku,2,29,2,10:00,81%,12
Sudoku,1,19,2,8:20,100%,13
Sudoku,2,19,1,10:00,44%,14
Sudoku,1,20,2,2:30,100%,15
Sudoku,1,24,1,4:35,100%,16
Sudoku,2,19,2,10:00,40%,17
Sudoku,1,20,1,10:00,53%,18
Sudoku,2,21,1,8:50,100%,19
Sudoku,1,22,2,10:00,70%,20
Sudoku,2,17,2,10:00,63%,21
Sudoku,2,20,2,10:00,33%,22
Sudoku,2,21,2,10:00,33%,23
Sudoku,2,21,1,8:30,37%,24
Sudoku,2,28,1,10:00,27%,25
Sudoku,1,28,1,7:00,100%,26
Sudoku,1,21,1,10:00,51%,27
Sudoku,1,19,2,10:00,27%,28
Sudoku,1,19,2,10:00,33%,29
Sudoku,2,19,2,10:00,19%,30